Gender,Age,Tenure_Months,Monthly_Minutes,Data_Usage_GB,Support_Calls,Monthly_Charges,Total_Charges,Late_Payments,Satisfaction_Score,Complaints,Phone_Service,Churn,Avg_Charge_Per_Month,Charge_Deviation,Support_Call_Rate,CLV_Proxy,Late_Payment_Ratio,Engagement_Score,High_Risk_Flag,Location_Suburban,Location_Urban,Contract_Type_One Year,Contract_Type_Two Year,Payment_Method_Credit Card,Payment_Method_Electronic Check,Payment_Method_Mailed Check,Internet_Service_Fiber Optic,Internet_Service_No,Tenure_Category_12-24m,Tenure_Category_24-48m,Tenure_Category_48-72m,Tenure_Category_6-12m
1,31,8,709.0,8.5,0.0,81.69,637.78,4,3.0,1,1,1,79.72,16.35,0.0,653.52,0.5,0.619,0,0,1,1,0,0,1,0,0,0,0,0,0,1
1,27,4,479.0,0.8,2.0,34.7,136.84,1,2.0,2,1,0,34.21,-30.64,0.5,138.8,0.25,0.3194,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,29,43,660.0,1.5,3.5,84.46,956.3499999999999,2,3.0,1,1,1,22.24,19.12,0.0814,3631.78,0.0465,0.4625,0,0,0,1,0,1,0,0,1,0,0,1,0,0
1,55,1,437.0,15.25,1.0,52.19,135.94,1,5.0,1,1,0,135.94,-13.15,1.0,52.19,1.0,0.7675,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,61,8,893.0,15.0,1.0,116.95,948.66,1,5.0,0,1,0,118.58,51.61,0.125,935.6,0.125,0.9374,0,1,0,0,0,0,0,1,0,0,0,0,0,1
0,63,8,412.0,1.3,3.0,76.79,604.49,1,2.0,0,1,0,75.56,11.45,0.375,614.32,0.125,0.3035,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0,51,4,363.0,2.8,0.0,57.18,177.89,0,5.0,0,1,1,44.47,-8.16,0.0,228.72,0.0,0.4942,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,58,17,479.0,0.8,1.0,93.11,1576.85,0,1.0,0,1,0,92.76,27.77,0.0588,1582.87,0.0,0.2594,0,0,1,0,1,1,0,0,0,1,1,0,0,0
0,27,1,354.0,1.5,2.0,67.33,20.0,1,5.0,0,1,0,20.0,1.99,2.0,67.33,1.0,0.4652,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,34,8,250.0,1.0,2.0,110.9,876.86,1,3.0,1,1,1,109.61,45.56,0.25,887.2,0.125,0.2955,0,0,1,1,0,0,1,0,0,0,0,0,0,1
1,34,65,645.0,0.4,1.0,36.68,2504.94,1,2.0,1,1,0,38.54,-28.66,0.0154,2384.2,0.0154,0.3751,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,20,8,50.0,4.3,0.0,51.39,499.19,0,5.0,2,1,1,62.4,-13.95,0.0,411.12,0.0,0.4038,0,1,0,0,0,1,0,0,0,1,0,0,0,1
0,48,10,356.0,1.4,2.0,90.19,918.6,2,2.0,0,1,1,91.86,24.85,0.2,901.9,0.2,0.284,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,68,15,231.0,15.25,2.0,55.3,881.17,1,3.0,0,0,0,58.74,-10.04,0.1333,829.5,0.0667,0.5685,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,18,19,528.0,3.6,1.0,88.35,1649.94,0,4.0,0,1,1,86.84,23.01,0.0526,1678.65,0.0,0.5132,0,1,0,0,1,0,0,1,0,1,1,0,0,0
1,29,39,62.0,2.2,1.0,81.23,3126.17,1,5.0,1,0,0,80.16,15.89,0.0256,3167.97,0.0256,0.367,0,0,1,1,0,0,0,0,1,0,0,1,0,0
0,56,5,609.0,12.2,2.0,44.87,183.42,1,2.0,0,1,1,36.68,-20.47,0.4,224.35,0.2,0.5934,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1,21,49,631.0,4.8,0.0,73.86,956.3499999999999,1,5.0,1,1,0,19.52,8.52,0.0,3619.14,0.0204,0.6363,0,1,0,1,0,0,0,0,1,0,0,0,1,0
0,59,34,173.0,0.7,0.0,61.77,2152.33,4,4.0,1,1,0,63.3,-3.57,0.0,2100.18,0.1176,0.3201,0,0,1,0,1,1,0,0,1,0,0,1,0,0
0,30,30,538.0,3.4,1.0,49.93,1441.61,1,3.0,0,1,0,48.05,-15.41,0.0333,1497.9,0.0333,0.4531,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,51,2,603.0,2.9,2.0,82.03,194.52,1,4.0,0,1,0,97.26,16.69,1.0,164.06,0.5,0.5282,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1,59,1,688.0,7.2,0.0,45.82,89.59,1,5.0,1,1,1,89.59,-19.52,0.0,45.82,1.0,0.7054,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1,38,21,206.0,5.9,2.0,67.61,1431.14,0,2.0,1,1,1,68.15,2.27,0.0952,1419.81,0.0,0.315,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,39,47,178.0,2.3,0.0,113.56,4466.516250000001,3,3.0,0,1,0,95.03,48.22,0.0,5337.32,0.0638,0.2935,0,1,0,0,1,0,1,0,1,0,0,1,0,0
1,21,21,800.0,3.2,1.0,70.67,1505.32,3,1.0,1,1,0,71.68,5.33,0.0476,1484.07,0.1429,0.4296,0,1,0,0,1,1,0,0,1,0,1,0,0,0
1,35,5,335.0,3.7,3.0,51.11,265.15,2,4.0,0,0,0,53.03,-14.23,0.6,255.55,0.4,0.4412,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,22,2,394.0,2.7,0.0,27.71,92.07,1,3.0,0,1,0,46.04,-37.63,0.0,55.42,0.5,0.3841,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1,36,28,626.0,0.6,1.0,26.31,796.48,1,2.0,0,1,0,28.45,-39.03,0.0357,736.68,0.0357,0.3718,0,1,0,0,0,0,1,0,1,0,0,1,0,0
0,19,30,266.0,11.8,2.0,38.72,1102.75,0,2.0,1,1,1,36.76,-26.62,0.0667,1161.6,0.0,0.4541,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,29,4,446.0,5.6,0.0,58.5,256.03,0,5.0,0,1,0,64.01,-6.84,0.0,234.0,0.0,0.5811,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,34,1,678.0,3.2,1.0,20.0,50.54,1,1.0,1,1,0,50.54,-45.34,1.0,20.0,1.0,0.3828,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,27,12,215.0,4.2,2.0,60.88,754.53,4,5.0,1,0,0,62.88,-4.46,0.1667,730.56,0.3333,0.465,0,0,1,0,0,0,0,1,1,0,0,0,0,1
0,51,20,399.0,1.2,0.0,29.92,623.73,2,4.0,2,0,0,31.19,-35.42,0.0,598.4,0.1,0.4166,0,1,0,0,0,1,0,0,1,0,1,0,0,0
0,23,29,274.0,3.8,3.0,62.11,1784.34,2,2.0,1,1,1,61.53,-3.23,0.1034,1801.19,0.069,0.2998,0,1,0,1,0,0,0,1,1,0,0,1,0,0
0,25,39,345.0,6.9,3.0,63.41,2420.36,0,3.0,0,1,0,62.06,-1.93,0.0769,2472.99,0.0,0.448,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,68,22,737.0,3.8,2.0,74.41,1559.94,0,4.0,0,1,0,70.91,9.07,0.0909,1637.02,0.0,0.5973,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,28,2,781.0,3.3,0.0,65.1,182.78,1,2.0,1,1,0,91.39,-0.24,0.0,130.2,0.5,0.4843,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,29,27,551.0,3.1,1.0,46.59,1258.86,1,1.0,1,1,1,46.62,-18.75,0.037,1257.93,0.037,0.3322,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,26,72,606.0,7.2,3.5,40.68,2947.33,2,4.0,1,1,0,40.94,-24.66,0.0486,2928.96,0.0278,0.6139,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,19,56,600.0,7.0,3.5,30.81,1733.7,1,2.0,1,1,1,30.96,-34.53,0.0625,1725.36,0.0179,0.4877,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,25,49,365.0,6.9,1.0,98.19,4466.516250000001,1,3.0,1,0,1,91.15,32.85,0.0204,4811.31,0.0204,0.4557,0,0,1,0,0,0,0,1,1,0,0,0,1,0
1,28,8,547.0,1.4,1.0,90.34,776.63,3,4.0,0,1,1,97.08,25.0,0.125,722.72,0.375,0.4772,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,53,33,240.0,4.8,2.0,54.77,1792.33,1,5.0,2,1,0,54.31,-10.57,0.0606,1807.41,0.0303,0.4864,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,27,45,308.0,7.5,1.0,65.64,2990.29,0,4.0,1,1,0,66.45,0.3,0.0222,2953.8,0.0,0.5056,0,1,0,0,1,1,0,0,0,0,0,1,0,0
0,38,27,482.0,4.1,1.0,63.2,1701.64,1,4.0,0,1,0,63.02,-2.14,0.037,1706.4,0.037,0.5054,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,37,6,287.0,7.5,2.0,96.45,468.61,1,4.0,3,1,1,78.1,31.11,0.3333,578.7,0.1667,0.4976,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,65,72,245.0,9.6,2.0,55.18,3942.65,0,5.0,0,1,0,54.76,-10.16,0.0278,3972.96,0.0,0.5828,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,25,14,357.0,1.0,3.5,20.0,336.08,1,2.0,1,1,0,24.01,-45.34,0.25,280.0,0.0714,0.2765,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1,53,3,729.0,1.8,2.0,78.25,188.68,1,2.0,0,1,0,62.89,12.91,0.6667,234.75,0.3333,0.4349,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,46,2,811.0,4.6,2.0,27.78,89.3,0,2.0,4,0,1,44.65,-37.56,1.0,55.56,0.0,0.5214,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,59,25,493.0,1.7,0.0,91.74,2310.78,1,2.0,0,1,0,92.43,26.4,0.0,2293.5,0.04,0.3424,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,29,13,616.0,14.2,1.0,39.94,523.93,0,4.0,0,1,1,40.3,-25.4,0.0769,519.22,0.0,0.7555,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,31,2,387.0,1.1,0.0,73.92,156.98,1,3.0,1,1,0,78.49,8.58,0.0,147.84,0.5,0.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,65,32,86.0,2.2,3.0,58.53,1904.49,0,4.0,1,1,1,59.52,-6.81,0.0938,1872.96,0.0,0.3162,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,67,38,321.0,15.25,0.0,59.47,2274.89,1,2.0,2,0,0,59.87,-5.87,0.0,2259.86,0.0263,0.543,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0,38,31,438.0,1.0,2.0,79.98,2428.21,0,2.0,2,1,0,78.33,14.64,0.0645,2479.38,0.0,0.3076,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,39,5,528.0,3.0,0.0,68.31,397.4,0,5.0,0,1,1,79.48,2.97,0.0,341.55,0.0,0.5614,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,38,28,479.0,1.9,3.5,54.7,1626.08,0,4.0,2,1,0,58.07,-10.64,0.125,1531.6,0.0,0.461,0,1,0,0,0,1,0,0,1,0,0,1,0,0
0,61,1,443.0,8.3,0.0,57.09,20.0,1,2.0,0,1,0,20.0,-8.25,0.0,57.09,1.0,0.4531,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,67,8,385.0,1.8,3.0,31.9,231.15,2,4.0,1,1,0,28.89,-33.44,0.375,255.2,0.25,0.423,0,0,1,0,0,1,0,0,1,0,0,0,0,1
0,47,12,568.0,0.9,1.0,68.66,905.13,0,1.0,1,0,1,75.43,3.32,0.0833,823.92,0.0,0.2954,0,0,1,1,0,0,1,0,1,0,0,0,0,1
0,56,43,227.0,13.5,1.0,73.37,3127.09,1,1.0,1,1,0,72.72,8.03,0.0233,3154.91,0.0233,0.4126,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,37,11,660.0,1.9,1.0,133.08375,1601.62,1,3.0,1,1,1,145.6,67.74,0.0909,1463.92,0.0909,0.4704,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,41,1,382.0,6.8,2.0,68.99,63.42,0,3.0,1,1,1,63.42,3.65,2.0,68.99,0.0,0.4602,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0,40,10,913.0,1.7,0.0,61.99,956.3499999999999,2,3.0,0,1,0,95.64,-3.35,0.0,619.9,0.2,0.5634,0,0,1,0,1,0,0,1,0,0,0,0,0,1
0,24,16,436.0,1.0,1.0,38.01,595.3,1,1.0,2,1,1,37.21,-27.33,0.0625,608.16,0.0625,0.2468,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,26,71,403.0,8.1,1.0,55.76,3874.55,1,5.0,0,0,0,54.57,-9.58,0.0141,3958.96,0.0141,0.6138,0,1,0,1,0,1,0,0,1,0,0,0,1,0
0,18,67,387.0,0.3,2.0,65.66,4430.21,1,4.0,1,1,0,66.12,0.32,0.0299,4399.22,0.0149,0.3942,0,0,1,1,0,1,0,0,1,0,0,0,1,0
0,43,4,405.0,2.0,0.0,40.52,218.92,0,3.0,1,1,1,54.73,-24.82,0.0,162.08,0.0,0.3746,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,55,4,621.0,7.6,1.0,82.01,348.77,0,4.0,1,0,1,87.19,16.67,0.25,328.04,0.0,0.6276,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,55,4,491.0,3.6,3.0,59.37,198.18,0,2.0,1,1,1,49.54,-5.97,0.75,237.48,0.0,0.379,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,61,37,697.0,5.8,1.0,81.22,2991.55,2,2.0,2,1,1,80.85,15.88,0.027,3005.14,0.0541,0.5013,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,39,1,592.0,0.3,1.0,43.34,56.3,1,3.0,0,1,1,56.3,-22.0,1.0,43.34,1.0,0.4128,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,61,3,506.0,6.9,1.0,71.27,244.97,0,1.0,0,1,0,81.66,5.93,0.3333,213.81,0.0,0.3897,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,27,18,574.0,0.9,2.0,59.7,1114.39,2,4.0,1,1,0,61.91,-5.64,0.1111,1074.6,0.1111,0.4777,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,23,6,739.0,8.3,2.0,97.05,956.3499999999999,2,2.0,1,1,1,159.39,31.71,0.3333,582.3,0.3333,0.5666,0,0,1,1,0,0,1,0,1,0,0,0,0,0
0,34,2,631.0,4.2,0.0,66.01,157.82,2,2.0,2,1,1,78.91,0.67,0.0,132.02,1.0,0.4445,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,68,10,556.0,6.7,2.0,33.43,299.44,1,5.0,2,1,0,29.94,-31.91,0.2,334.3,0.1,0.6449,0,0,1,0,1,0,1,0,1,0,0,0,0,1
0,67,7,584.0,1.2,0.0,58.93,494.22,0,4.0,0,0,0,70.6,-6.41,0.0,412.51,0.0,0.4875,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,55,17,269.0,2.5,2.0,21.68,274.11,0,5.0,0,1,0,16.12,-43.66,0.1176,368.56,0.0,0.4523,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,41,72,1014.0,8.1,2.0,72.49,4466.516250000001,1,4.0,0,1,0,62.03,7.15,0.0278,5219.28,0.0139,0.788,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,68,3,605.0,12.1,1.0,99.68,224.18,0,3.0,1,1,0,74.73,34.34,0.3333,299.04,0.0,0.6499,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,27,11,625.0,1.3,0.0,70.94,755.42,1,3.0,2,1,0,68.67,5.6,0.0,780.34,0.0909,0.4452,0,0,1,1,0,0,1,0,0,0,0,0,0,1
0,25,64,494.0,7.9,0.0,71.82,4466.516250000001,0,2.0,1,1,0,69.79,6.48,0.0,4596.48,0.0,0.4648,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,38,50,50.0,0.6,1.0,74.63,3758.1,0,4.0,2,1,0,75.16,9.29,0.02,3731.5,0.0,0.271,0,0,1,1,0,1,0,0,0,0,0,0,1,0
0,23,12,446.0,2.8,3.0,42.84,534.83,2,2.0,0,0,0,44.57,-22.5,0.25,514.08,0.1667,0.346,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,38,28,515.0,14.0,3.0,46.07,1260.06,1,3.0,0,1,0,45.0,-19.27,0.1071,1289.96,0.0357,0.6528,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1,56,2,335.0,14.5,2.0,78.12,956.3499999999999,1,4.0,1,1,0,478.17,12.78,1.0,156.24,0.5,0.6537,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,41,29,333.0,1.8,0.0,59.28,1766.66,2,3.0,1,1,0,60.92,-6.06,0.0,1719.12,0.069,0.3431,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,50,72,432.0,1.1,1.0,117.7,4466.516250000001,2,3.0,1,0,1,62.03,52.36,0.0139,8474.4,0.0278,0.3672,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,35,18,654.0,0.8,2.0,101.12,1823.71,2,1.0,0,1,1,101.32,35.78,0.1111,1820.16,0.1111,0.3264,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,45,16,751.0,3.3,3.0,46.13,689.76,5,4.0,2,1,0,43.11,-19.21,0.1875,738.08,0.3125,0.5928,0,0,1,1,0,1,0,0,1,0,1,0,0,0
0,69,4,534.0,0.5,3.5,46.93,223.93,1,4.0,1,1,0,55.98,-18.41,0.875,187.72,0.25,0.4545,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,49,24,386.0,2.2,3.0,30.97,728.38,1,5.0,1,1,0,30.35,-34.37,0.125,743.28,0.0417,0.4912,0,1,0,1,0,1,0,0,1,0,1,0,0,0
1,29,21,427.0,0.1,3.5,46.01,980.18,0,2.0,0,1,1,46.68,-19.33,0.1667,966.21,0.0,0.2856,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,65,25,519.0,1.5,3.5,58.62,1430.13,0,4.0,0,0,0,57.21,-6.72,0.14,1465.5,0.0,0.4685,0,0,1,0,1,0,0,1,1,0,0,1,0,0
1,59,1,543.0,11.5,1.0,72.08,94.56,0,5.0,1,1,0,94.56,6.74,1.0,72.08,0.0,0.7344,0,0,1,0,1,0,1,0,1,0,0,0,0,0
1,44,19,586.0,3.0,1.0,61.97,1168.2,0,5.0,1,1,0,61.48,-3.37,0.0526,1177.43,0.0,0.5836,0,0,1,0,0,0,0,1,0,0,1,0,0,0
1,27,21,412.0,0.4,2.0,116.12,2351.09,2,4.0,2,1,0,111.96,50.78,0.0952,2438.52,0.0952,0.4058,0,1,0,0,1,0,1,0,1,0,1,0,0,0
1,63,5,605.0,5.2,0.0,88.29,458.77,0,3.0,1,1,0,91.75,22.95,0.0,441.45,0.0,0.5142,0,1,0,0,1,0,0,1,1,0,0,0,0,0
1,69,5,590.0,15.25,2.0,77.33,418.25,3,2.0,1,1,0,83.65,11.99,0.4,386.65,0.6,0.6462,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,59,7,420.0,3.1,2.0,78.14,497.04,2,4.0,2,1,1,71.01,12.8,0.2857,546.98,0.2857,0.462,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,49,29,156.0,4.9,1.0,20.0,649.58,0,5.0,2,1,0,22.4,-45.34,0.0345,580.0,0.0,0.4562,0,0,1,1,0,1,0,0,1,0,0,1,0,0
0,59,22,323.0,12.6,2.0,20.0,388.52,1,3.0,0,1,0,17.66,-45.34,0.0909,440.0,0.0455,0.5517,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,43,44,813.0,2.7,3.0,64.49,2861.83,2,3.0,2,1,1,65.04,-0.85,0.0682,2837.56,0.0455,0.5448,0,0,1,1,0,1,0,0,1,0,0,1,0,0
