CustomerID,Gender,Age,Location,Tenure_Months,Contract_Type,Payment_Method,Monthly_Minutes,Data_Usage_GB,Support_Calls,Monthly_Charges,Total_Charges,Late_Payments,Satisfaction_Score,Complaints,Internet_Service,Phone_Service,Churn
CUST-00032,Male,55,Suburban,4,Month-to-Month,Credit Card,151,7.2,1,38.65,276.96,0,3.0,1,Fiber Optic,Yes,0
CUST-00033,Female,25,Rural,72,Month-to-Month,Credit Card,517,4.1,2,76.25,5446.09,1,1.0,0,Fiber Optic,Yes,1
CUST-00034,Female,59,Suburban,31,Month-to-Month,Mailed Check,616,8.8,2,20.0,,1,2.0,0,Fiber Optic,Yes,0
CUST-00035,Female,41,Suburban,1,Month-to-Month,Bank Transfer,390,0.3,1,83.23,20.0,0,4.0,1,No,Yes,1
CUST-00036,Male,52,Rural,29,Month-to-Month,Mailed Check,552,11.7,1,77.6,2228.58,1,5.0,0,Fiber Optic,Yes,0
CUST-00037,Female,31,Suburban,12,One Year,Bank Transfer,521,8.6,1,107.28,1276.53,1,4.0,0,Fiber Optic,Yes,0
CUST-00038,Male,31,Urban,8,One Year,Electronic Check,709,8.5,0,81.69,637.78,4,3.0,1,DSL,Yes,1
CUST-00039,Male,27,Suburban,4,Month-to-Month,Credit Card,479,0.8,2,34.7,136.84,1,2.0,2,Fiber Optic,Yes,0
CUST-00040,Male,29,Rural,43,One Year,Credit Card,660,1.5,4,84.46,,2,3.0,1,Fiber Optic,Yes,1
CUST-00041,Male,55,Suburban,1,Month-to-Month,Bank Transfer,437,19.6,1,52.19,135.94,1,5.0,1,DSL,Yes,0
CUST-00042,Male,61,Suburban,8,Month-to-Month,Mailed Check,893,15.0,1,116.95,948.66,1,5.0,0,DSL,Yes,0
CUST-00043,Female,63,Suburban,8,One Year,Credit Card,412,1.3,3,76.79,604.49,1,2.0,0,DSL,Yes,0
CUST-00044,Female,51,Rural,4,Month-to-Month,Bank Transfer,363,2.8,0,57.18,177.89,0,5.0,0,Fiber Optic,Yes,1
CUST-00045,Female,58,Urban,17,Two Year,Credit Card,479,0.8,1,93.11,1576.85,0,1.0,0,No,Yes,0
CUST-00046,Female,27,Suburban,1,Two Year,Bank Transfer,354,1.5,2,67.33,20.0,1,5.0,0,Fiber Optic,Yes,0
CUST-00047,Female,34,Urban,8,One Year,Electronic Check,250,1.0,2,110.9,876.86,1,3.0,1,DSL,Yes,1
CUST-00048,Male,34,Suburban,65,Month-to-Month,Electronic Check,645,0.4,1,36.68,2504.94,1,2.0,1,No,Yes,0
CUST-00049,Female,20,Suburban,8,Month-to-Month,Credit Card,50,4.3,0,51.39,499.19,0,5.0,2,No,Yes,1
CUST-00050,Female,48,Urban,10,Month-to-Month,Credit Card,356,1.4,2,90.19,918.6,2,2.0,0,Fiber Optic,Yes,1
CUST-00051,Male,68,Urban,15,One Year,Bank Transfer,231,24.3,2,55.3,881.17,1,3.0,0,Fiber Optic,No,0
CUST-00052,Female,18,Suburban,19,Two Year,Mailed Check,528,3.6,1,88.35,1649.94,0,4.0,0,No,Yes,1
CUST-00053,Male,29,Urban,39,One Year,Bank Transfer,62,2.2,1,81.23,3126.17,1,5.0,1,Fiber Optic,No,0
CUST-00054,Female,56,Urban,5,One Year,Bank Transfer,609,12.2,2,44.87,183.42,1,2.0,0,Fiber Optic,Yes,1
CUST-00055,Male,21,Suburban,49,One Year,Bank Transfer,631,4.8,0,73.86,,1,5.0,1,Fiber Optic,Yes,0
CUST-00056,Female,59,Urban,34,Two Year,Credit Card,173,0.7,0,61.77,2152.33,4,4.0,1,Fiber Optic,Yes,0
CUST-00057,Female,30,Urban,30,Month-to-Month,Electronic Check,538,3.4,1,49.93,1441.61,1,3.0,0,DSL,Yes,0
CUST-00058,Male,51,Rural,2,Two Year,Credit Card,603,2.9,2,82.03,194.52,1,4.0,0,Fiber Optic,Yes,0
CUST-00059,Male,59,Urban,1,One Year,Electronic Check,688,7.2,0,45.82,89.59,1,5.0,1,DSL,Yes,1
CUST-00060,Male,38,Urban,21,Month-to-Month,Bank Transfer,206,5.9,2,67.61,1431.14,0,2.0,1,DSL,Yes,1
CUST-00061,Male,39,Suburban,47,Two Year,Electronic Check,178,2.3,0,113.56,5304.22,3,3.0,0,Fiber Optic,Yes,0
CUST-00062,Male,21,Suburban,21,Two Year,Credit Card,800,3.2,1,70.67,1505.32,3,1.0,1,Fiber Optic,Yes,0
CUST-00063,Male,35,Rural,5,One Year,Mailed Check,335,3.7,3,51.11,265.15,2,4.0,0,Fiber Optic,No,0
CUST-00064,Male,22,Rural,2,Two Year,Credit Card,394,2.7,0,27.71,92.07,1,3.0,0,Fiber Optic,Yes,0
CUST-00065,Male,36,Suburban,28,Month-to-Month,Electronic Check,626,0.6,1,26.31,796.48,1,2.0,0,Fiber Optic,Yes,0
CUST-00066,Female,19,Urban,30,Month-to-Month,Electronic Check,266,11.8,2,38.72,1102.75,0,2.0,1,DSL,Yes,1
CUST-00067,Female,29,Urban,4,Month-to-Month,Bank Transfer,446,5.6,0,58.5,256.03,0,5.0,0,DSL,Yes,0
CUST-00068,Male,34,Urban,1,One Year,Bank Transfer,678,3.2,1,20.0,50.54,1,1.0,1,DSL,Yes,0
CUST-00069,Female,27,Urban,12,Month-to-Month,Mailed Check,215,4.2,2,60.88,754.53,4,5.0,1,Fiber Optic,No,0
CUST-00070,Female,51,Suburban,20,Month-to-Month,Credit Card,399,1.2,0,29.92,623.73,2,4.0,2,Fiber Optic,No,0
CUST-00071,Female,23,Suburban,29,One Year,Mailed Check,274,3.8,3,62.11,1784.34,2,2.0,1,Fiber Optic,Yes,1
CUST-00072,Female,25,Urban,39,Month-to-Month,Credit Card,345,6.9,3,63.41,2420.36,0,3.0,0,No,Yes,0
CUST-00073,Male,68,Suburban,22,Month-to-Month,Bank Transfer,737,3.8,2,74.41,1559.94,0,4.0,0,DSL,Yes,0
CUST-00074,Female,28,Urban,2,Month-to-Month,Credit Card,781,3.3,0,65.1,182.78,1,2.0,1,No,Yes,0
CUST-00075,Male,29,Urban,27,Month-to-Month,Credit Card,551,3.1,1,46.59,1258.86,1,1.0,1,Fiber Optic,Yes,1
CUST-00076,Female,26,Suburban,72,Month-to-Month,Credit Card,606,7.2,4,40.68,2947.33,2,4.0,1,Fiber Optic,Yes,0
CUST-00077,Female,19,Urban,56,Month-to-Month,Credit Card,600,7.0,4,30.81,1733.7,1,2.0,1,DSL,Yes,1
CUST-00078,Female,25,Urban,49,Month-to-Month,Mailed Check,365,6.9,1,98.19,4802.88,1,3.0,1,Fiber Optic,No,1
CUST-00079,Male,28,Urban,8,Month-to-Month,Electronic Check,547,1.4,1,90.34,776.63,3,4.0,0,DSL,Yes,1
CUST-00080,Female,53,Urban,33,Month-to-Month,Credit Card,240,4.8,2,54.77,1792.33,1,5.0,2,Fiber Optic,Yes,0
CUST-00081,Male,27,Suburban,45,Two Year,Credit Card,308,7.5,1,65.64,2990.29,0,4.0,1,DSL,Yes,0
CUST-00082,Female,38,Rural,27,Month-to-Month,Electronic Check,482,4.1,1,63.2,1701.64,1,4.0,0,DSL,Yes,0
CUST-00083,Male,37,Urban,6,One Year,Bank Transfer,287,7.5,2,96.45,468.61,1,4.0,3,DSL,Yes,1
CUST-00084,Female,65,Urban,72,Month-to-Month,Electronic Check,245,9.6,2,55.18,3942.65,0,5.0,0,Fiber Optic,Yes,0
CUST-00085,Male,25,Suburban,14,Month-to-Month,Bank Transfer,357,1.0,4,20.0,336.08,1,2.0,1,Fiber Optic,Yes,0
CUST-00086,Male,53,Rural,3,Month-to-Month,Electronic Check,729,1.8,2,78.25,188.68,1,2.0,0,Fiber Optic,Yes,0
CUST-00087,Female,46,Urban,2,Two Year,Electronic Check,811,4.6,2,27.78,89.3,0,2.0,4,Fiber Optic,No,1
CUST-00088,Male,59,Urban,25,Month-to-Month,Electronic Check,493,1.7,0,91.74,2310.78,1,2.0,0,Fiber Optic,Yes,0
CUST-00089,Female,29,Suburban,13,One Year,Credit Card,616,14.2,1,39.94,523.93,0,4.0,0,Fiber Optic,Yes,1
CUST-00090,Female,31,Suburban,2,One Year,Bank Transfer,387,1.1,0,73.92,156.98,1,3.0,1,DSL,Yes,0
CUST-00091,Female,65,Urban,32,Month-to-Month,Credit Card,86,2.2,3,58.53,1904.49,0,4.0,1,Fiber Optic,Yes,1
CUST-00092,Female,67,Suburban,38,Two Year,Electronic Check,321,25.8,0,59.47,2274.89,1,2.0,2,DSL,No,0
CUST-00093,Female,38,Urban,31,Month-to-Month,Bank Transfer,438,1.0,2,79.98,2428.21,0,2.0,2,Fiber Optic,Yes,0
CUST-00094,Female,39,Suburban,5,Month-to-Month,Electronic Check,528,3.0,0,68.31,397.4,0,5.0,0,DSL,Yes,1
CUST-00095,Female,38,Suburban,28,Month-to-Month,Credit Card,479,1.9,4,54.7,1626.08,0,4.0,2,Fiber Optic,Yes,0
CUST-00096,Female,61,Rural,1,Month-to-Month,Bank Transfer,443,8.3,0,57.09,20.0,1,2.0,0,Fiber Optic,Yes,0
CUST-00097,Female,67,Urban,8,Month-to-Month,Credit Card,385,1.8,3,31.9,231.15,2,4.0,1,Fiber Optic,Yes,0
CUST-00098,Female,47,Urban,12,One Year,Electronic Check,568,0.9,1,68.66,905.13,0,1.0,1,Fiber Optic,No,1
CUST-00099,Female,56,Urban,43,Month-to-Month,Electronic Check,227,13.5,1,73.37,3127.09,1,1.0,1,No,Yes,0
CUST-00100,Male,37,Rural,11,One Year,Electronic Check,660,1.9,1,143.29,1601.62,1,3.0,1,DSL,Yes,1
CUST-00101,Male,41,Urban,1,Month-to-Month,Mailed Check,382,6.8,2,68.99,63.42,0,3.0,1,Fiber Optic,Yes,1
CUST-00102,Female,40,Urban,10,Two Year,Mailed Check,913,1.7,0,61.99,,2,3.0,0,DSL,Yes,0
CUST-00103,Female,24,Urban,16,Month-to-Month,Electronic Check,436,1.0,1,38.01,595.3,1,1.0,2,Fiber Optic,Yes,1
CUST-00104,Female,26,Suburban,71,One Year,Credit Card,403,8.1,1,55.76,3874.55,1,5.0,0,Fiber Optic,No,0
CUST-00105,Female,18,Urban,67,One Year,Credit Card,387,0.3,2,65.66,4430.21,1,4.0,1,Fiber Optic,Yes,0
CUST-00106,Female,43,Urban,4,Month-to-Month,Bank Transfer,405,2.0,0,40.52,218.92,0,3.0,1,DSL,Yes,1
CUST-00107,Female,55,Urban,4,Month-to-Month,Mailed Check,621,7.6,1,82.01,348.77,0,4.0,1,DSL,No,1
CUST-00108,Female,55,Rural,4,Month-to-Month,Bank Transfer,491,3.6,3,59.37,198.18,0,2.0,1,No,Yes,1
CUST-00109,Female,61,Suburban,37,Month-to-Month,Credit Card,697,5.8,1,81.22,2991.55,2,2.0,2,Fiber Optic,Yes,1
CUST-00110,Male,39,Suburban,1,Month-to-Month,Mailed Check,592,0.3,1,43.34,56.3,1,3.0,0,Fiber Optic,Yes,1
CUST-00111,Female,61,Rural,3,One Year,Bank Transfer,506,6.9,1,71.27,244.97,0,1.0,0,DSL,Yes,0
CUST-00112,Male,27,Rural,18,Month-to-Month,Electronic Check,574,0.9,2,59.7,1114.39,2,4.0,1,DSL,Yes,0
CUST-00113,Female,23,Urban,6,One Year,Electronic Check,739,8.3,2,97.05,,2,2.0,1,Fiber Optic,Yes,1
CUST-00114,Female,34,Rural,2,Month-to-Month,Electronic Check,631,4.2,0,66.01,157.82,2,2.0,2,No,Yes,1
CUST-00115,Male,68,Urban,10,Two Year,Electronic Check,556,6.7,2,33.43,299.44,1,5.0,2,Fiber Optic,Yes,0
CUST-00116,Female,67,Urban,7,Month-to-Month,Electronic Check,584,1.2,0,58.93,494.22,0,4.0,0,Fiber Optic,No,0
CUST-00117,Male,55,Rural,17,Month-to-Month,Electronic Check,269,2.5,2,21.68,274.11,0,5.0,0,Fiber Optic,Yes,0
CUST-00118,Female,41,Urban,72,Month-to-Month,Bank Transfer,1014,8.1,2,72.49,5312.56,1,4.0,0,DSL,Yes,0
CUST-00119,Female,68,Urban,3,Month-to-Month,Electronic Check,605,12.1,1,99.68,224.18,0,3.0,1,DSL,Yes,0
CUST-00120,Male,27,Urban,11,One Year,Electronic Check,625,1.3,0,70.94,755.42,1,3.0,2,DSL,Yes,0
CUST-00121,Female,25,Suburban,64,One Year,Bank Transfer,494,7.9,0,71.82,4518.11,0,2.0,1,DSL,Yes,0
CUST-00122,Male,38,Urban,50,One Year,Credit Card,50,0.6,1,74.63,3758.1,0,4.0,2,DSL,Yes,0
CUST-00123,Female,23,Suburban,12,One Year,Bank Transfer,446,2.8,3,42.84,534.83,2,2.0,0,DSL,No,0
CUST-00124,Male,38,Rural,28,Two Year,Electronic Check,515,14.0,3,46.07,1260.06,1,3.0,0,Fiber Optic,Yes,0
CUST-00125,Male,56,Suburban,2,One Year,Credit Card,335,14.5,2,78.12,,1,4.0,1,Fiber Optic,Yes,0
CUST-00126,Female,41,Urban,29,Month-to-Month,Electronic Check,333,1.8,0,59.28,1766.66,2,3.0,1,No,Yes,0
CUST-00127,Female,50,Rural,72,Month-to-Month,Credit Card,432,1.1,1,117.7,8461.52,2,3.0,1,No,No,1
CUST-00128,Male,35,Urban,18,Month-to-Month,Credit Card,654,0.8,2,101.12,1823.71,2,1.0,0,DSL,Yes,1
CUST-00129,Female,45,Urban,16,One Year,Credit Card,751,3.3,3,46.13,689.76,5,4.0,2,Fiber Optic,Yes,0
CUST-00130,Female,69,Urban,4,Month-to-Month,Electronic Check,534,0.5,5,46.93,223.93,1,4.0,1,Fiber Optic,Yes,0
CUST-00131,Female,49,Suburban,24,One Year,Credit Card,386,2.2,3,30.97,728.38,1,5.0,1,Fiber Optic,Yes,0
CUST-00132,Male,29,Urban,21,Month-to-Month,Bank Transfer,427,0.1,4,46.01,980.18,0,2.0,0,No,Yes,1
CUST-00133,Male,65,Urban,25,Two Year,Mailed Check,519,1.5,5,58.62,1430.13,0,4.0,0,Fiber Optic,No,0
CUST-00134,Male,59,Urban,1,Two Year,Electronic Check,543,11.5,1,72.08,94.56,0,5.0,1,Fiber Optic,Yes,0
CUST-00135,Male,44,Urban,19,Month-to-Month,Mailed Check,586,3.0,1,61.97,1168.2,0,5.0,1,DSL,Yes,0
CUST-00136,Male,27,Suburban,21,Two Year,Electronic Check,412,0.4,2,116.12,2351.09,2,4.0,2,Fiber Optic,Yes,0
CUST-00137,Male,63,Suburban,5,Two Year,Mailed Check,605,5.2,0,88.29,458.77,0,3.0,1,Fiber Optic,Yes,0
CUST-00138,Male,69,Suburban,5,Two Year,Electronic Check,590,15.6,2,77.33,418.25,3,2.0,1,DSL,Yes,0
CUST-00139,Male,59,Urban,7,Month-to-Month,Mailed Check,420,3.1,2,78.14,497.04,2,4.0,2,No,Yes,1
CUST-00140,Male,49,Urban,29,One Year,Credit Card,156,4.9,1,20.0,649.58,0,5.0,2,Fiber Optic,Yes,0
CUST-00141,Female,59,Rural,22,Month-to-Month,Credit Card,323,12.6,2,20.0,388.52,1,3.0,0,Fiber Optic,Yes,0
CUST-00142,Male,43,Urban,44,One Year,Credit Card,813,2.7,3,64.49,2861.83,2,3.0,2,Fiber Optic,Yes,1
CUST-00143,Female,42,Rural,8,One Year,Mailed Check,161,5.5,2,87.46,785.11,1,2.0,2,DSL,Yes,1
CUST-00144,Female,28,Urban,58,One Year,Electronic Check,763,2.9,0,52.16,3123.54,2,3.0,0,Fiber Optic,Yes,0
CUST-00145,Female,40,Rural,32,Month-to-Month,Bank Transfer,154,16.4,0,74.67,2335.21,1,5.0,0,Fiber Optic,Yes,0
CUST-00146,Male,51,Urban,12,Two Year,Bank Transfer,345,3.5,1,83.58,1042.54,0,4.0,2,No,Yes,0
CUST-00147,Male,69,Urban,2,Month-to-Month,Electronic Check,425,10.8,2,90.75,159.57,0,2.0,1,Fiber Optic,Yes,1
CUST-00148,Male,57,Suburban,7,Month-to-Month,Mailed Check,856,3.5,4,52.28,319.26,3,4.0,2,No,Yes,0
CUST-00149,Male,40,Suburban,72,One Year,Electronic Check,505,5.5,5,59.74,4314.01,1,3.0,2,No,Yes,0
CUST-00150,Female,46,Urban,8,Two Year,Electronic Check,457,2.4,1,55.67,495.42,0,3.0,2,No,No,0
CUST-00151,Male,48,Suburban,9,Two Year,Bank Transfer,312,12.5,2,47.21,419.59,0,4.0,1,No,Yes,0
CUST-00152,Male,24,Suburban,5,One Year,Bank Transfer,604,5.2,0,68.87,269.66,0,3.0,2,Fiber Optic,Yes,0
CUST-00153,Male,57,Urban,39,Month-to-Month,Mailed Check,397,0.1,4,37.04,1379.72,0,5.0,1,DSL,Yes,1
CUST-00154,Male,50,Urban,7,Month-to-Month,Electronic Check,454,0.1,1,98.26,725.47,0,4.0,0,Fiber Optic,Yes,0
CUST-00155,Male,38,Urban,9,Month-to-Month,Electronic Check,428,5.6,1,62.48,587.6,2,5.0,0,DSL,Yes,0
CUST-00156,Female,19,Urban,12,Month-to-Month,Credit Card,643,0.6,0,59.78,742.95,0,3.0,2,Fiber Optic,Yes,0
CUST-00157,Male,35,Suburban,13,Month-to-Month,Credit Card,652,6.3,1,23.23,237.94,2,2.0,2,Fiber Optic,Yes,1
CUST-00158,Female,64,Urban,12,Month-to-Month,Credit Card,321,1.9,1,33.48,369.33,2,5.0,1,Fiber Optic,Yes,0
CUST-00159,Male,50,Urban,16,Month-to-Month,Electronic Check,374,3.9,2,91.06,1427.72,0,3.0,1,Fiber Optic,Yes,1
CUST-00160,Female,54,Urban,40,Two Year,Bank Transfer,354,1.0,0,150.0,5938.39,1,1.0,2,Fiber Optic,Yes,1
CUST-00161,Male,51,Suburban,41,One Year,Mailed Check,536,1.4,1,84.26,3460.74,2,3.0,0,No,Yes,0
CUST-00162,Male,37,Urban,38,One Year,Electronic Check,681,2.9,1,58.23,2176.1,0,5.0,2,Fiber Optic,No,0
CUST-00163,Female,52,Urban,2,Month-to-Month,Credit Card,539,5.5,0,48.58,85.67,1,1.0,1,Fiber Optic,No,0
CUST-00164,Female,68,Urban,38,Month-to-Month,Credit Card,61,0.8,0,36.22,1335.72,1,2.0,1,Fiber Optic,Yes,0
CUST-00165,Female,67,Rural,3,Month-to-Month,Electronic Check,651,1.7,3,25.47,20.0,0,1.0,0,Fiber Optic,Yes,0
CUST-00166,Male,35,Urban,3,Month-to-Month,Bank Transfer,230,1.2,0,73.33,158.93,0,3.0,0,No,Yes,0
CUST-00167,Female,63,Suburban,70,One Year,Electronic Check,356,9.9,4,67.35,4670.35,2,3.0,1,No,Yes,0
CUST-00168,Male,41,Urban,41,Month-to-Month,Electronic Check,539,5.2,3,45.69,1888.83,1,5.0,0,Fiber Optic,Yes,0
CUST-00169,Male,25,Urban,19,Two Year,Credit Card,483,3.2,4,63.37,1159.46,0,4.0,0,No,Yes,0
CUST-00170,Female,47,Suburban,49,Two Year,Credit Card,674,14.7,2,70.41,3457.62,3,5.0,2,Fiber Optic,Yes,0
CUST-00171,Female,61,Urban,72,Month-to-Month,Bank Transfer,377,6.7,2,21.58,1611.56,0,2.0,2,Fiber Optic,No,0
CUST-00172,Male,27,Rural,22,Month-to-Month,Bank Transfer,306,13.5,1,90.11,1984.49,0,5.0,1,Fiber Optic,Yes,0
CUST-00173,Male,40,Rural,22,Two Year,Electronic Check,437,4.6,1,101.35,2164.28,1,3.0,3,DSL,Yes,1
CUST-00174,Female,69,Suburban,33,One Year,Electronic Check,695,0.7,1,65.49,2134.76,1,1.0,3,No,Yes,1
CUST-00175,Female,66,Suburban,6,One Year,Mailed Check,625,5.6,4,114.2,740.25,0,4.0,0,Fiber Optic,No,0
CUST-00176,Female,28,Urban,4,One Year,Mailed Check,517,1.1,1,80.24,321.19,0,4.0,0,No,Yes,0
CUST-00177,Male,19,Urban,34,Month-to-Month,Bank Transfer,765,2.1,2,106.43,3579.93,0,4.0,0,Fiber Optic,Yes,1
CUST-00178,Male,43,Rural,10,Month-to-Month,Bank Transfer,728,3.6,1,60.35,576.41,0,3.0,1,Fiber Optic,Yes,1
CUST-00179,Male,53,Suburban,3,Month-to-Month,Electronic Check,657,0.9,2,90.23,340.49,0,5.0,4,No,No,1
CUST-00180,Male,50,Suburban,9,Month-to-Month,Credit Card,264,0.1,3,72.07,699.32,3,3.0,1,DSL,Yes,1
CUST-00181,Male,64,Urban,10,Month-to-Month,Mailed Check,656,2.0,0,45.2,446.61,1,4.0,2,DSL,No,0
CUST-00182,Male,30,Urban,72,Month-to-Month,Bank Transfer,459,8.7,3,83.9,6031.46,0,1.0,0,Fiber Optic,No,1
CUST-00183,Female,57,Rural,28,Two Year,Mailed Check,421,0.1,0,91.67,2584.83,1,3.0,0,No,No,0
CUST-00184,Male,42,Urban,18,One Year,Mailed Check,363,0.6,0,66.74,1168.67,3,5.0,1,Fiber Optic,Yes,0
CUST-00185,Male,21,Urban,72,Month-to-Month,Electronic Check,465,8.2,1,63.18,4597.07,2,2.0,0,Fiber Optic,Yes,1
CUST-00186,Male,59,Urban,56,Month-to-Month,Credit Card,374,1.8,0,93.64,5247.32,3,2.0,1,DSL,Yes,0
CUST-00187,Female,36,Suburban,17,One Year,Electronic Check,533,13.9,0,39.3,609.44,1,2.0,3,Fiber Optic,Yes,0
CUST-00188,Male,35,Urban,56,Month-to-Month,Electronic Check,465,2.4,1,48.46,2759.42,1,3.0,0,Fiber Optic,Yes,0
CUST-00189,Male,54,Suburban,12,One Year,Electronic Check,544,8.0,2,55.45,620.45,1,2.0,1,DSL,Yes,1
CUST-00190,Female,47,Urban,6,Two Year,Credit Card,610,1.5,2,56.81,250.54,4,3.0,0,Fiber Optic,Yes,0
CUST-00191,Male,36,Rural,6,One Year,Bank Transfer,441,0.3,1,36.46,272.24,3,3.0,3,No,Yes,0
CUST-00192,Male,40,Suburban,26,Month-to-Month,Mailed Check,352,10.7,1,39.4,1071.64,2,2.0,2,DSL,Yes,0
CUST-00193,Male,33,Urban,16,One Year,Mailed Check,98,13.1,0,83.48,1300.77,2,1.0,3,No,Yes,0
CUST-00194,Male,18,Suburban,25,Month-to-Month,Credit Card,654,6.2,0,55.35,1481.74,0,3.0,2,DSL,Yes,0
CUST-00195,Male,29,Urban,27,Month-to-Month,Mailed Check,515,7.3,1,20.88,608.07,0,4.0,1,DSL,Yes,0
CUST-00196,Female,41,Urban,1,Month-to-Month,Credit Card,464,0.1,0,67.55,20.0,0,4.0,0,No,Yes,1
CUST-00197,Female,51,Rural,1,Two Year,Electronic Check,734,7.0,0,81.06,41.36,1,5.0,0,DSL,Yes,0
CUST-00198,Female,25,Urban,18,Month-to-Month,Credit Card,242,3.2,1,84.15,1580.26,1,3.0,0,DSL,Yes,1
CUST-00199,Male,35,Urban,5,Two Year,Mailed Check,511,3.0,3,113.27,675.18,0,2.0,0,DSL,Yes,0
CUST-00200,Male,65,Urban,24,Month-to-Month,Electronic Check,307,3.9,2,56.71,1356.12,1,5.0,0,Fiber Optic,Yes,0
CUST-00201,Male,22,Urban,19,Month-to-Month,Bank Transfer,631,1.6,0,55.55,1094.47,1,5.0,0,DSL,Yes,1
CUST-00202,Female,43,Rural,21,One Year,Credit Card,54,6.0,1,81.66,1688.73,0,1.0,1,No,Yes,0
CUST-00203,Male,47,Urban,8,Month-to-Month,Credit Card,660,1.8,1,66.14,551.14,0,,1,DSL,Yes,1
CUST-00204,Male,30,Rural,24,Month-to-Month,Electronic Check,652,4.1,2,60.48,1434.12,2,1.0,2,No,No,1
